card_number,player_name,team_name,rarity_name,position,variant_type,is_autograph,is_numbered,print_run,product_name,season,competition,source_verified
161,Rayan Cherki,Olympique Lyonnais,Base-FS,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
162,Ayyoub Bouaddi,LOSC Lille,Base-FS,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
163,Samuele Ricci,Torino FC,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
164,Strahinja Pavlović,AC Milan,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
165,Pavlović Strahinja,AC Milan,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
166,Lamine Camara,AS Monaco,Base-FS,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
167,Radosław Majecki,AS Monaco,Base,gardien,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
168,Aleksandar Mitrović,Al-Hilal,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
169,Antoine Griezmann,Atlético de Madrid,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
170,Julián Álvarez,Atlético de Madrid,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
171,Jan Oblak,Atlético de Madrid,Base,gardien,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
172,Savinho,Manchester City,Base-RC,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
173,Matheus Nunes,Manchester City,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
174,İlkay Gündoğan,Manchester City,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
175,Erling Haaland,Manchester City,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
176,Nico Schlotterbeck,Borussia Dortmund,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
177,Emre Can,Borussia Dortmund,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
178,Marcel Sabitzer,Borussia Dortmund,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
179,Lukáš Provod,SK Slavia Praha,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
180,Ondřej Lingr,SK Slavia Praha,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
181,Heung-Min Son,Tottenham Hotspur,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
182,Dejan Kulusevski,Tottenham Hotspur,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
183,Pedro Porro,Tottenham Hotspur,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
184,Yann Sommer,FC Internazionale Milano,Base,gardien,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
185,Benjamin Pavard,FC Internazionale Milano,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
186,Francesco Acerbi,FC Internazionale Milano,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
187,Destiny Udogie,Tottenham Hotspur,Base-RC,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
188,Brennan Johnson,Tottenham Hotspur,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
189,Luis Díaz,Liverpool FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
190,Alexis Mac Allister,Liverpool FC,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
191,Cody Gakpo,Liverpool FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
192,Joško Gvardiol,Manchester City,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
193,Stefan de Vrij,FC Internazionale Milano,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
194,Alessandro Bastoni,FC Internazionale Milano,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
195,Denzel Dumfries,FC Internazionale Milano,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
196,Pedri,FC Barcelona,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
197,Iñaki Williams,Athletic Club,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
198,Unai Simón,Athletic Club,Base,gardien,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
199,Oihan Sancet,Athletic Club,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
200,Nico Williams,Athletic Club,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
3-GOLD50,Kylian Mbappé,Real Madrid C.F.,Gold Refractor,attaquant,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
3-ORA25,Kylian Mbappé,Real Madrid C.F.,Orange Refractor,attaquant,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
3-RED5,Kylian Mbappé,Real Madrid C.F.,Red Refractor,attaquant,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
3-SF1,Kylian Mbappé,Real Madrid C.F.,Superfractor,attaquant,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
14-GOLD50,Achraf Hakimi,Paris Saint-Germain,Gold Refractor,défenseur,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
14-ORA25,Achraf Hakimi,Paris Saint-Germain,Orange Refractor,défenseur,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
14-RED5,Achraf Hakimi,Paris Saint-Germain,Red Refractor,défenseur,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
14-SF1,Achraf Hakimi,Paris Saint-Germain,Superfractor,défenseur,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
15-GOLD50,Marquinhos,Paris Saint-Germain,Gold Refractor,défenseur,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
15-ORA25,Marquinhos,Paris Saint-Germain,Orange Refractor,défenseur,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
15-RED5,Marquinhos,Paris Saint-Germain,Red Refractor,défenseur,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
15-SF1,Marquinhos,Paris Saint-Germain,Superfractor,défenseur,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
16-GOLD50,Gianluigi Donnarumma,Paris Saint-Germain,Gold Refractor,gardien,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
16-ORA25,Gianluigi Donnarumma,Paris Saint-Germain,Orange Refractor,gardien,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
16-RED5,Gianluigi Donnarumma,Paris Saint-Germain,Red Refractor,gardien,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
16-SF1,Gianluigi Donnarumma,Paris Saint-Germain,Superfractor,gardien,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
31-GOLD50,Gonçalo Ramos,Paris Saint-Germain,Gold Refractor,attaquant,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
31-ORA25,Gonçalo Ramos,Paris Saint-Germain,Orange Refractor,attaquant,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
31-RED5,Gonçalo Ramos,Paris Saint-Germain,Red Refractor,attaquant,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
31-SF1,Gonçalo Ramos,Paris Saint-Germain,Superfractor,attaquant,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
42-GOLD50,Jamal Musiala,FC Bayern München,Gold Refractor,milieu,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
42-ORA25,Jamal Musiala,FC Bayern München,Orange Refractor,milieu,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
42-RED5,Jamal Musiala,FC Bayern München,Red Refractor,milieu,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
42-SF1,Jamal Musiala,FC Bayern München,Superfractor,milieu,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
47-GOLD50,Phil Foden,Manchester City,Gold Refractor,milieu,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
47-ORA25,Phil Foden,Manchester City,Orange Refractor,milieu,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
47-RED5,Phil Foden,Manchester City,Red Refractor,milieu,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
47-SF1,Phil Foden,Manchester City,Superfractor,milieu,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
74-GOLD50,Khvicha Kvaratskhelia,Paris Saint-Germain,Gold Refractor,attaquant,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
74-ORA25,Khvicha Kvaratskhelia,Paris Saint-Germain,Orange Refractor,attaquant,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
74-RED5,Khvicha Kvaratskhelia,Paris Saint-Germain,Red Refractor,attaquant,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
74-SF1,Khvicha Kvaratskhelia,Paris Saint-Germain,Superfractor,attaquant,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
75-GOLD50,Vitinha,Paris Saint-Germain,Gold Refractor,milieu,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
75-ORA25,Vitinha,Paris Saint-Germain,Orange Refractor,milieu,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
75-RED5,Vitinha,Paris Saint-Germain,Red Refractor,milieu,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
75-SF1,Vitinha,Paris Saint-Germain,Superfractor,milieu,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
76-GOLD50,Warren Zaïre-Emery,Paris Saint-Germain,Gold Refractor,milieu,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
76-ORA25,Warren Zaïre-Emery,Paris Saint-Germain,Orange Refractor,milieu,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
76-RED5,Warren Zaïre-Emery,Paris Saint-Germain,Red Refractor,milieu,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
76-SF1,Warren Zaïre-Emery,Paris Saint-Germain,Superfractor,milieu,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
89-GOLD50,Randal Kolo Muani,Paris Saint-Germain,Gold Refractor,attaquant,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
89-ORA25,Randal Kolo Muani,Paris Saint-Germain,Orange Refractor,attaquant,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
89-RED5,Randal Kolo Muani,Paris Saint-Germain,Red Refractor,attaquant,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
89-SF1,Randal Kolo Muani,Paris Saint-Germain,Superfractor,attaquant,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
109-GOLD50,Ousmane Dembélé,Paris Saint-Germain,Gold Refractor,attaquant,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
109-ORA25,Ousmane Dembélé,Paris Saint-Germain,Orange Refractor,attaquant,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
109-RED5,Ousmane Dembélé,Paris Saint-Germain,Red Refractor,attaquant,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
109-SF1,Ousmane Dembélé,Paris Saint-Germain,Superfractor,attaquant,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
116-GOLD50,Bradley Barcola,Paris Saint-Germain,Gold Refractor,attaquant,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
116-ORA25,Bradley Barcola,Paris Saint-Germain,Orange Refractor,attaquant,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
116-RED5,Bradley Barcola,Paris Saint-Germain,Red Refractor,attaquant,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
116-SF1,Bradley Barcola,Paris Saint-Germain,Superfractor,attaquant,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
148-GOLD50,Désiré Doué,Paris Saint-Germain,Gold Refractor,milieu,numbered,false,true,50,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
148-ORA25,Désiré Doué,Paris Saint-Germain,Orange Refractor,milieu,numbered,false,true,25,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
148-RED5,Désiré Doué,Paris Saint-Germain,Red Refractor,milieu,numbered,false,true,5,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
148-SF1,Désiré Doué,Paris Saint-Germain,Superfractor,milieu,numbered,false,true,1,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-EH,Erling Haaland,Manchester City,Chrome Autograph,gardien,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-JB,Jude Bellingham,Real Madrid C.F.,Chrome Autograph,milieu,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-LY,Lamine Yamal,FC Barcelona,Chrome Autograph,attaquant,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-VM,Vinicius Jr.,Real Madrid C.F.,Chrome Autograph,attaquant,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-JM,Jamal Musiala,FC Bayern München,Chrome Autograph,milieu,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-CP,Cole Palmer,Chelsea FC,Chrome Autograph,milieu,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-BB,Bradley Barcola,Paris Saint-Germain,Chrome Autograph,attaquant,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-GR,Gonçalo Ramos,Paris Saint-Germain,Chrome Autograph,attaquant,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-OD,Ousmane Dembélé,Paris Saint-Germain,Chrome Autograph,attaquant,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-MS,Mohamed Salah,Liverpool FC,Chrome Autograph,attaquant,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-KM,Kylian Mbappé,Real Madrid C.F.,Chrome Autograph,attaquant,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-FW,Florian Wirtz,Bayer 04 Leverkusen,Chrome Autograph,milieu,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-AM,Antoni Milambo,Feyenoord,Chrome Autograph,milieu,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-FB,Folarin Balogun,AS Monaco,Chrome Autograph,attaquant,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-XS,Xavi Simons,RB Leipzig,Chrome Autograph,milieu,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-KO,Kassoum Ouattara,AS Monaco,Chrome Autograph,attaquant,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-RC,Rayan Cherki,Olympique Lyonnais,Chrome Autograph,milieu,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
CA-MR,Morgan Rogers,Aston Villa,Chrome Autograph,milieu,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
FSA-BB,Bradley Barcola,Paris Saint-Germain,Chrome Autograph,attaquant,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
FSA-AP,Aleksandar Pavlović,FC Bayern München,Chrome Autograph,milieu,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
FSA-FL,Fermín López,FC Barcelona,Chrome Autograph,milieu,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
FSA-LY,Lamine Yamal,FC Barcelona,Chrome Autograph,attaquant,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
FSA-AM,Antoni Milambo,Feyenoord,Chrome Autograph,milieu,autograph,true,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
GOL-1,Erling Haaland,Manchester City,Golazo,attaquant,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
GOL-2,Kylian Mbappé,Real Madrid C.F.,Golazo,attaquant,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
GOL-3,Vinicius Jr.,Real Madrid C.F.,Golazo,attaquant,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
GOL-4,Ousmane Dembélé,Paris Saint-Germain,Golazo,attaquant,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
GOL-5,Lamine Yamal,FC Barcelona,Golazo,attaquant,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
GOL-6,Jude Bellingham,Real Madrid C.F.,Golazo,milieu,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
GOL-7,Bradley Barcola,Paris Saint-Germain,Golazo,attaquant,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
GOL-8,Jonathan David,LOSC Lille,Golazo,attaquant,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
WK-1,Lamine Yamal,FC Barcelona,Wonderkids,attaquant,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
WK-2,Florian Wirtz,Bayer 04 Leverkusen,Wonderkids,milieu,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
WK-3,Bradley Barcola,Paris Saint-Germain,Wonderkids,attaquant,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
WK-4,Kobbie Mainoo,Manchester United,Wonderkids,milieu,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
WK-5,Cole Palmer,Chelsea FC,Wonderkids,milieu,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
WK-6,Rayan Cherki,Olympique Lyonnais,Wonderkids,milieu,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
WK-7,Eliesse Ben Seghir,AS Monaco,Wonderkids,milieu,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
WK-8,Lamine Camara,AS Monaco,Wonderkids,milieu,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
FD-1,Erling Haaland,Manchester City,Final Destination,attaquant,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
FD-2,Jude Bellingham,Real Madrid C.F.,Final Destination,milieu,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
FD-3,Gonçalo Ramos,Paris Saint-Germain,Final Destination,attaquant,insert,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
